"ratio","term","beta","se","p","n"
"se_zn_ratio","scale(se_zn_ratio)",-7.30237486081048e-05,0.000428077129202378,0.867392107331318,2810
"se_cu_ratio","scale(se_cu_ratio)",-0.00124164541987588,0.00131552739636747,0.363868068227537,2810
