"subgroup","stratum","exposure","outcome","beta","se","effect","lci","uci","p","n","p_BH_subgroup"
"sex_strata","Female","DR1TSELE","cap275",0.00949719099177018,0.0582031557801847,1.00954243241887,0.900701842703527,1.13153529229504,0.872891430714057,3014,0.951989288512118
"sex_strata","Female","LBXBSE","cap275",0.0690393557165391,0.0512651734951183,1.07147837711785,0.969048725217005,1.18473497024003,0.201083347135378,3014,0.57521511716926
"sex_strata","Female","se_zn_ratio","cap275",0.06417464869397,0.0343458633089573,1.06627860666661,0.996861691426125,1.14052940023039,0.0843926629256595,3014,0.424685658593641
"sex_strata","Female","se_cu_ratio","cap275",0.0993024882015848,0.0447371467991427,1.1044003171039,1.01168542782658,1.20561196877126,0.0448445808059098,3014,0.298228981982471
"sex_strata","Female","DR1TSELE","lsm8",0.114419184210978,0.154235361991992,1.12122202495979,0.828712385705038,1.51697844866335,0.471370439838669,3014,0.728057313018142
"sex_strata","Female","LBXBSE","lsm8",0.0487558620211457,0.0622476606240742,1.04996398336203,0.929368874477664,1.18620754001155,0.447511823395196,3014,0.721237384328887
"sex_strata","Female","se_zn_ratio","lsm8",0.125885731277444,0.13519525179675,1.13415256271371,0.870143653286327,1.47826399773418,0.368751223107793,3014,0.647427837250343
"sex_strata","Female","se_cu_ratio","lsm8",0.305540650373288,0.0723140741560747,1.35735866112891,1.17798466230188,1.56404628506913,0.000991922965571194,3014,0.0357426297624325
"sex_strata","Female","DR1TSELE","hfs",-0.000646173479900026,0.000966500725775749,-0.000646173479900026,-0.00254051490242049,0.00124816794262044,0.515466359999433,1434,0.758610869433128
"sex_strata","Female","LBXBSE","hfs",-0.000467395795943573,0.000447729821489731,-0.000467395795943573,-0.00134494624606345,0.000410154654176301,0.315545047289164,1434,0.647427837250343
"sex_strata","Female","se_zn_ratio","hfs",-0.000578435015203461,0.000428812839741565,-0.000578435015203461,-0.00141890818109693,0.000262038150690007,0.200390580704446,1434,0.57521511716926
"sex_strata","Female","se_cu_ratio","hfs",0.000279227535786309,0.00130297826478312,0.000279227535786309,-0.0022746098631886,0.00283306493476122,0.833638348447132,1434,0.942373785201105
"sex_strata","Male","DR1TSELE","cap275",0.0333768966105798,0.0577714258310091,1.0339401543541,0.923250117466274,1.15790100922986,0.573310593744818,2871,0.784530286177119
"sex_strata","Male","LBXBSE","cap275",0.12360868732774,0.072411569808434,1.13157298550266,0.981848765117336,1.30412897282239,0.11157311207064,2871,0.497297299514851
"sex_strata","Male","se_zn_ratio","cap275",0.0535120089493844,0.0533157599597524,1.05496966076878,0.950291137727062,1.17117895869745,0.333849467791203,2871,0.647427837250343
"sex_strata","Male","se_cu_ratio","cap275",0.150154595056369,0.0456814344032827,1.16201387044295,1.06249400943948,1.27085538657685,0.00589336836482231,2871,0.114920683114035
"sex_strata","Male","DR1TSELE","lsm8",0.0865415679566359,0.0978357540275043,1.09039669233817,0.900129614480888,1.32088193470638,0.392460787201558,2871,0.658221860639133
"sex_strata","Male","LBXBSE","lsm8",-0.171942064532367,0.0797216086133759,0.842027955038721,0.72022154175823,0.984434699545126,0.0503289659396236,2871,0.314052747463251
"sex_strata","Male","se_zn_ratio","lsm8",-0.0285664562846929,0.0785435257720727,0.971837707276709,0.833174840070646,1.13357783248084,0.72192678841483,2871,0.866312146097796
"sex_strata","Male","se_cu_ratio","lsm8",0.120540258894002,0.0916120275064287,1.12810615635774,0.942688560934167,1.34999357449625,0.210983537677279,2871,0.585897634958739
"sex_strata","Male","DR1TSELE","hfs",-0.0023452794993387,0.00186182802058379,-0.0023452794993387,-0.00599446241968293,0.00130390342100553,0.229936189350225,1376,0.597834092310585
"sex_strata","Male","LBXBSE","hfs",0.00205204259297207,0.00177722474322763,0.00205204259297207,-0.00143131790375408,0.00553540308969823,0.269024585021913,1376,0.645659004052592
"sex_strata","Male","se_zn_ratio","hfs",0.000488594300697375,0.000959411875690963,0.000488594300697375,-0.00139185297565691,0.00236904157705166,0.619100859468191,1376,0.790594626205654
"sex_strata","Male","se_cu_ratio","hfs",-0.00276133808395741,0.00222877938291173,-0.00276133808395741,-0.00712974567446441,0.00160706950654959,0.237269098963997,1376,0.606786548170223
"age_strata","<60","DR1TSELE","cap275",-0.0221827121380884,0.0594264392250493,0.978061515013957,0.870525233335688,1.09888179057817,0.715450593277361,3823,0.865196066288901
"age_strata","<60","LBXBSE","cap275",0.117496907570406,0.0518282566939332,1.12467815195035,1.01604081891866,1.24493122906288,0.042665127769513,3823,0.298228981982471
"age_strata","<60","se_zn_ratio","cap275",0.0725335931281838,0.0373052631866089,1.0752289257866,0.999415448199444,1.15679344854141,0.075672026386893,3823,0.407063314357079
"age_strata","<60","se_cu_ratio","cap275",0.119414952461991,0.037161918030435,1.12683740524478,1.04767936862816,1.21197627430751,0.00744552156171638,3823,0.116150136362776
"age_strata","<60","DR1TSELE","lsm8",0.0636739973523048,0.0990987019711533,1.0657449064616,0.877604310351727,1.29421903727164,0.532612718573273,3823,0.765210914862953
"age_strata","<60","LBXBSE","lsm8",-0.0034330160133427,0.0652983295572364,0.996572870048556,0.876851400261568,1.13264058769884,0.958936144739224,3823,0.992043371670659
"age_strata","<60","se_zn_ratio","lsm8",-0.057811062049419,0.106610306653887,0.943828255567989,0.765851292587815,1.16316546649475,0.597562085193797,3823,0.789997332968071
"age_strata","<60","se_cu_ratio","lsm8",0.166033466069106,0.0636288059756832,1.1806126115254,1.04218660037878,1.33742473563393,0.0228265575800599,3823,0.237396198832623
"age_strata","<60","DR1TSELE","hfs",-0.00104663124554421,0.00138534354480834,-0.00104663124554421,-0.00376190459336857,0.00166864210228014,0.464519017646455,1862,0.72464966752847
"age_strata","<60","LBXBSE","hfs",0.000870581705908317,0.00114045297479809,0.000870581705908317,-0.00136470612469595,0.00310586953651258,0.459990974291426,1862,0.72464966752847
"age_strata","<60","se_zn_ratio","hfs",0.00043398799518766,0.000411556899951469,0.00043398799518766,-0.000372663528717219,0.00124063951909254,0.312422150089369,1862,0.647427837250343
"age_strata","<60","se_cu_ratio","hfs",-0.000655938339186469,0.00171954570628481,-0.000655938339186469,-0.00402624792350469,0.00271437124513176,0.709530136222127,1862,0.865196066288901
"age_strata",">=60","DR1TSELE","cap275",0.118162025723804,0.0967402454859392,1.12542644462988,0.931043894218076,1.36039201818297,0.245374933257262,2062,0.617394993356981
"age_strata",">=60","LBXBSE","cap275",0.00961907987782433,0.0686962594894215,1.00966549192103,0.882474320906101,1.15518874762204,0.890964334120315,2062,0.951989288512118
"age_strata",">=60","se_zn_ratio","cap275",0.0105021088747918,0.059232915337409,1.01055744958191,0.899789524039188,1.13496137888022,0.86222876918699,2062,0.949237894816015
"age_strata",">=60","se_cu_ratio","cap275",0.112446113402287,0.0768741799176768,1.11901195554099,0.962494161092155,1.30098218489222,0.169234602410088,2062,0.562413500506845
"age_strata",">=60","DR1TSELE","lsm8",0.150380551582386,0.125685132578364,1.16227646472663,0.908498258293338,1.48694460129746,0.25461184391123,2062,0.630467423018285
"age_strata",">=60","LBXBSE","lsm8",-0.197676638907057,0.106531912809199,0.820635171724701,0.665990956066894,1.01118803331616,0.0882331009276923,2062,0.427186157053454
"age_strata",">=60","se_zn_ratio","lsm8",0.181281711614268,0.0790745643085765,1.19875283432636,1.02664434435482,1.39971389869055,0.0407438015493196,2062,0.298228981982471
