"ratio","term","beta","se","OR","lci","uci","p"
"se_zn_t","se_zn_tT2",0.214269181621406,0.0654171800631639,1.23895611412653,1.08986246425547,1.40844583887943,0.007393574894926
"se_zn_t","se_zn_tT3 (high)",0.200581839244262,0.0514359999420636,1.22211362500298,1.10491375191497,1.35174506591973,0.00247811701943902
"se_cu_t","se_cu_tT2",0.327814747995304,0.07985570919788,1.38793183131807,1.186843851329,1.62309032163655,0.00174426207437523
"se_cu_t","se_cu_tT3 (high)",0.298888758412527,0.0732721571904133,1.34835962146506,1.16797949700667,1.5565972463188,0.001822807932697
