"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
121.39,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.65201654184017,0.373478364017824
130.3,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.61749058938419,0.373796482459097
141.3,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.5721868255414,0.375208867566733
153.58,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.52021482555871,0.378942552163899
166.93,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.46472842660864,0.386006398055099
190,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.3738935129654,0.404449968921431
228.59,161.146,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.23597995542724,0.447089336822405
34.7,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.65656249937821,0.405562811280776
46.5,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.6513955242071,0.392736326661004
55.4,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.64714689532485,0.385555505241185
63.1,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.64317657878773,0.380673515727318
69.1,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.6398675005614,0.377541605639164
75.3,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.63621627914227,0.374836472832157
81.6,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.6321596329219,0.372648948044123
87.6,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.6278508896312,0.371108410647337
93.2,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.62333479178497,0.370128740552569
99.6,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.61746670567802,0.369469760184599
106.2,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.61048462875529,0.369147886854533
114,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.60084926705641,0.368974345218488
121.39,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.59046747948431,0.368937481696797
130.3,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.5767139600835,0.369205830905253
141.3,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.55852963624407,0.370415297284082
153.58,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.53767218208943,0.373461874357759
166.93,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.51562844143975,0.379066311170271
190,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.48031744262957,0.3935238789747
228.59,165.428,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.42897171619519,0.426944437512779
34.7,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.49580238915704,0.396667418438845
46.5,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.50037533216469,0.386399155871946
55.4,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.50408979419482,0.38057167920575
63.1,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.50752606884843,0.376561512198532
69.1,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.51036658961221,0.373964241676286
75.3,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.51346536484473,0.3716998031767
81.6,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.51678439959193,0.369836184377361
87.6,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.52010092920524,0.368480494103302
93.2,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.52332982185364,0.367570421432368
99.6,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.52717366013067,0.366895215628686
106.2,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.53130453095029,0.366499208176897
114,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.53639682782092,0.366244079062782
121.39,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.54141474631829,0.366159998807515
