"method","estimate","se","pval","or","or_lo","or_hi"
"IVW",0.0227329307445244,0.0426735794206354,0.594229666159179,1.02299329300385,0.940911918416348,1.11223511685583
"MR-Egger",0.406258056217749,0.150016231141714,0.0067670851707573,1.50118989386407,1.11877198978058,2.01432563384216
"Weighted Median",0.0371975211206271,0.0417231014480318,0.372643304742224,1.03789800737042,0.956400753985067,1.12633984155172
