"outcome","beta_interaction","se","z","p","OR_per_logHgSe","ci_lo","ci_hi","p_BH"
"steatosis_cap275",0.128525821617614,0.187324127563962,0.686114614753665,0.492640835602884,1.13715078398483,0.787706698523026,1.64161598211865,0.638169513027712
"fibrosis_lsm8",-0.142316494516205,0.302633855170594,-0.470259662244272,0.638169513027712,0.86734670256579,0.479275902439947,1.56963932178086,0.638169513027712
"hfs_high",1.72803070583506,2.66226932524776,0.649081852631212,0.516285470979586,5.62955673198879,0.0305003484253959,1039.06711348557,0.638169513027712
"ggt_high",0.458072118197518,0.214706222638458,2.13348319656697,0.0328851086436716,1.58102301948044,1.03795031948051,2.40824029937974,0.131540434574687
