"method","estimate","conf.low","conf.high","p.value"
"Complete-case",1.01905227938546,1.00667126505551,1.0312822580131,0.00136285396930756
"mice m=20",1.0192138903771,1.00788752410615,1.03066753927615,0.00084727214530929
