"outcome","exposure","n","n_knots","p_nonlinear_anova","p_overall_anova","p_lr_vs_linear"
"cap","DR1TSELE",5767,5,0.000950660022926542,6.88558933137351e-06,0.00093103726783915
"lsm","DR1TSELE",5767,5,0.358516745102291,0.000948868274604386,0.357276984000027
"hfs","DR1TSELE",2847,5,0.54386589457574,0.150230158509285,0.541524503314183
"cap","LBXBSE",5767,5,1.27124977211679e-11,2.47246667584022e-13,1.18397517600908e-11
"lsm","LBXBSE",5767,5,0.00639826981252201,0.000247991337775311,0.00630037949857316
"hfs","LBXBSE",2847,5,0.240204919264892,0.266263398206287,0.237914598001376
