"predicted","observed"
5.17434577723287e-07,0.0477472486753074
0.0100669723258072,0
0.0201334272170367,0
0.0301998821082662,0
0.0402663369994957,0
0.0503327918907252,0
0.0603992467819548,0
0.0704657016731843,0
0.0805321565644138,0
0.0905986114556433,0
0.100665066346873,0
0.110731521238102,0
0.120797976129332,0
0.130864431020561,0
0.140930885911791,0
0.15099734080302,0
0.16106379569425,0
0.171130250585479,0
0.181196705476709,0
0.191263160367938,0
0.201329615259168,0
0.211396070150397,0
0.221462525041627,0
0.231528979932856,0
0.241595434824086,0
0.251661889715315,0
0.261728344606545,0
0.271794799497774,0
0.281861254389004,0
0.291927709280233,0
0.301994164171463,0
0.312060619062692,0
0.322127073953922,0
0.332193528845151,0
0.342259983736381,0
0.35232643862761,0
0.36239289351884,0
0.372459348410069,0
0.382525803301299,0
0.392592258192528,0
0.402658713083758,0
0.412725167974987,0
0.422791622866217,0
0.432858077757446,0
0.442924532648676,0
0.452990987539905,0
0.463057442431135,0
0.473123897322364,0
0.483190352213594,0
0.493256807104823,0
0.503323261996053,0
0.513389716887282,0
0.523456171778512,0
0.533522626669741,0
0.543589081560971,0
0.5536555364522,0
0.56372199134343,0
0.57378844623466,0
0.583854901125889,0
0.593921356017118,0
0.603987810908348,0
0.614054265799577,0
0.624120720690807,0
0.634187175582037,0
0.644253630473266,0
0.654320085364495,0
0.664386540255725,0
0.674452995146955,0
0.684519450038184,0
0.694585904929414,0
0.704652359820643,0
0.714718814711872,0
0.724785269603102,0
0.734851724494332,0
0.744918179385561,0
0.754984634276791,0
0.76505108916802,0
0.77511754405925,0
0.785183998950479,0
0.795250453841709,0
0.805316908732938,0
0.815383363624168,0
0.825449818515397,0
0.835516273406627,0
0.845582728297856,0.0306940606322298
0.855649183189086,0.14006737404732
0.865715638080315,0.243623425958583
0.875782092971545,0.341065914761082
0.885848547862774,0.43209853884988
0.895915002754004,0.516424996620041
0.905981457645233,0.59374898646663
0.916047912536463,0.663774206784708
0.926114367427692,0.726204355969342
0.936180822318922,0.780743132415594
0.946247277210151,0.827094234518527
0.956313732101381,0.864961360673207
0.96638018699261,0.894048209274696
0.97644664188384,0.914058478718059
0.986513096775069,0.924695867398358
0.996579551666299,0.925664073710658
