"step","n"
"Raw merged K cycle",11933
"Age >= 20",7809
"+ not pregnant",7768
"+ LUX valid (FibroScan)",5614
"+ Se dual (LBXBSE + DR1TSELE)",4319
"+ BIOPRO + CBC PLT",4062
"+ Core covariate complete (main analytic K cohort)",3310
"HFS-eligible subset",1835
