"outcome","F_stat_nonlinear","p_nonlinear","p_overall","n","p_BH"
"cap",3.17663520100327,0.0230879626729839,4.07299472965617e-56,5885,0.0461759253459678
"lsm",1.9794977303855,0.114765832221998,3.18868915630386e-17,5885,0.153021109629331
"ln_ggt",4.36826623879394,0.00444321926076563,4.11409861317062e-92,5885,0.0177728770430625
"hfs",0.703187499490652,0.550062039329872,0.345258948056891,2908,0.550062039329872
