"ratio","term","beta","se","p","n"
"se_zn_ratio","scale(se_zn_ratio)",0.00745734611204564,0.00584119210456141,0.225867406699896,5885
"se_cu_ratio","scale(se_cu_ratio)",0.0199595915215071,0.00635806941644434,0.00854375169682844,5885
