"ratio","term","OR","lci","uci","RR","RR_lci","RR_uci","EV_point","EV_lcl"
"se_zn_t","se_zn_tT2",1.23895611412653,1.08986246425547,1.40844583887943,1.1202777701937,1.04810716267834,1.19251025710486,1.48735339209805,1.27265439997888
"se_zn_t","se_zn_tT3 (high)",1.22211362500298,1.10491375191497,1.35174506591973,1.11256011454634,1.05580663716804,1.16939102835898,1.4664384749091,1.29854315671144
"se_cu_t","se_cu_tT2",1.38793183131807,1.186843851329,1.62309032163655,1.18426035181444,1.09605379362678,1.27178019099503,1.65139227008294,1.42052278274111
"se_cu_t","se_cu_tT3 (high)",1.34835962146506,1.16797949700667,1.5565972463188,1.16797879228206,1.08702804598682,1.24851741386501,1.6109185928629,1.39460230819858
